SPAs,policy_target_xml
SPA119,../input/policy/policy_target_1p9_spa1.xml
SPA219,../input/policy/policy_target_1p9_spa235.xml
SPA319,../input/policy/policy_target_1p9_spa235.xml
SPA419,../input/policy/policy_target_1p9_spa4.xml
SPA519,../input/policy/policy_target_1p9_spa235.xml
SPA126,../input/policy/policy_target_2p6_spa1.xml
SPA226,../input/policy/policy_target_2p6_spa23.xml
SPA326,../input/policy/policy_target_2p6_spa23.xml
SPA426,../input/policy/policy_target_2p6_spa4.xml
SPA526,../input/policy/policy_target_2p6_spa5.xml
SPA137,../input/policy/policy_target_3p7_spa1.xml
SPA237,../input/policy/policy_target_3p7_spa235.xml
SPA337,../input/policy/policy_target_3p7_spa235.xml
SPA437,../input/policy/policy_target_3p7_spa4.xml
SPA537,../input/policy/policy_target_3p7_spa235.xml
SPA145,../input/policy/policy_target_4p5_spa1.xml
SPA245,../input/policy/policy_target_4p5_spa23.xml
SPA345,../input/policy/policy_target_4p5_spa23.xml
SPA445,../input/policy/policy_target_4p5_spa4.xml
SPA545,../input/policy/policy_target_4p5_spa5.xml
SPA160,../input/policy/policy_target_6p0_spa1.xml
SPA260,../input/policy/policy_target_6p0_spa235.xml
SPA360,../input/policy/policy_target_6p0_spa235.xml
SPA460,../input/policy/policy_target_6p0_spa4.xml
SPA560,../input/policy/policy_target_6p0_spa235.xml
